tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,w4m1,w4m1/k40,10,10,640,10,640,perm.down,2.996,0.1,0.0,0.0
1,w4m1,w4m1/k40,10,10,640,10,640,up,322.947,15.5,12987.6,57.1
1,w4m1,w4m1/k40,10,10,640,10,640,down,120.898,5.8,17346.5,101.6
1,w4m1,w4m1/k40,10,10,640,10,640,shexp.up,180.348,8.7,36.3,19.3
1,w4m1,w4m1/k40,10,10,640,10,640,shexp.down,19.305,0.9,169.7,90.2
1,w4m1,w4m1/k40,10,10,640,10,640,combine,2.737,0.1,0.0,44.9
1,w4m1,w4m1/k40,10,10,640,10,640,block,663.220,31.8,,
1,n2m1,m1/k40,10,10,160,10,160,router,4.228,0.2,621.2,622.4
1,n2m1,m1/k40,10,10,160,10,160,router.sum,0.840,0.0,0.0,0.0
1,n2m1,m1/k40,10,10,160,10,160,route,5.824,0.3,0.0,0.0
1,n2m1,m1/k40,10,10,160,10,160,perm.up,2.903,0.1,0.0,0.0
1,n2m1,m1/k40,10,10,160,10,160,perm.down,2.895,0.1,0.0,0.0
1,n2m1,m1/k40,10,10,160,10,160,up,187.002,9.0,5607.3,98.6
1,n2m1,m1/k40,10,10,160,10,160,down,82.320,4.0,6368.9,149.3
1,n2m1,m1/k40,10,10,160,10,160,shexp.up,90.401,4.3,72.5,38.5
1,n2m1,m1/k40,10,10,160,10,160,shexp.down,11.887,0.6,275.7,146.4
1,n2m1,m1/k40,10,10,160,10,160,combine,2.721,0.1,0.0,45.2
1,n2m1,m1/k40,10,10,160,10,160,block,391.021,18.8,,
1,n2m1,m2/k40,10,20,320,10,320,router,4.294,0.2,611.7,612.9
1,n2m1,m2/k40,10,20,320,10,320,router.sum,0.838,0.0,0.0,0.0
1,n2m1,m2/k40,10,20,320,10,320,route,5.824,0.3,0.0,0.0
1,n2m1,m2/k40,10,20,320,10,320,perm.up,3.013,0.1,0.0,0.0
1,n2m1,m2/k40,10,20,320,10,320,perm.down,2.944,0.1,0.0,0.0
1,n2m1,m2/k40,10,20,320,10,320,up,320.237,15.4,6548.7,57.6
1,n2m1,m2/k40,10,20,320,10,320,down,85.354,4.1,12285.0,144.0
1,n2m1,m2/k40,10,20,320,10,320,shexp.up,90.254,4.3,72.6,38.6
1,n2m1,m2/k40,10,20,320,10,320,shexp.down,14.138,0.7,231.8,123.1
1,n2m1,m2/k40,10,20,320,10,320,combine,2.754,0.1,0.0,44.6
1,n2m1,m2/k40,10,20,320,10,320,block,529.650,25.4,,
1,n2m1,m4/k40,10,40,640,10,640,router,4.351,0.2,603.7,604.8
1,n2m1,m4/k40,10,40,640,10,640,router.sum,0.841,0.0,0.0,0.0
1,n2m1,m4/k40,10,40,640,10,640,route,5.829,0.3,0.0,0.0
1,n2m1,m4/k40,10,40,640,10,640,perm.up,3.193,0.2,0.0,0.0
1,n2m1,m4/k40,10,40,640,10,640,perm.down,2.993,0.1,0.0,0.0
1,n2m1,m4/k40,10,40,640,10,640,up,473.642,22.7,8855.4,38.9
1,n2m1,m4/k40,10,40,640,10,640,down,98.284,4.7,21337.7,125.0
1,n2m1,m4/k40,10,40,640,10,640,shexp.up,90.669,4.4,72.3,38.4
1,n2m1,m4/k40,10,40,640,10,640,shexp.down,22.306,1.1,146.9,78.0
1,n2m1,m4/k40,10,40,640,10,640,combine,2.730,0.1,0.0,45.0
1,n2m1,m4/k40,10,40,640,10,640,block,704.838,33.8,,
1,n2m1,w2m1/k40,10,20,320,10,320,router,4.255,0.2,617.3,618.5
1,n2m1,w2m1/k40,10,20,320,10,320,router.sum,0.837,0.0,0.0,0.0
1,n2m1,w2m1/k40,10,20,320,10,320,route,5.829,0.3,0.0,0.0
1,n2m1,w2m1/k40,10,20,320,10,320,perm.up,3.014,0.1,0.0,0.0
1,n2m1,w2m1/k40,10,20,320,10,320,perm.down,2.947,0.1,0.0,0.0
1,n2m1,w2m1/k40,10,20,320,10,320,up,318.149,15.3,6591.7,57.9
1,n2m1,w2m1/k40,10,20,320,10,320,down,93.662,4.5,11195.3,131.2
1,n2m1,w2m1/k40,10,20,320,10,320,shexp.up,90.206,4.3,72.7,38.6
1,n2m1,w2m1/k40,10,20,320,10,320,shexp.down,15.787,0.8,207.6,110.3
1,n2m1,w2m1/k40,10,20,320,10,320,combine,2.728,0.1,0.0,45.0
1,n2m1,w2m1/k40,10,20,320,10,320,block,537.414,25.8,,
1,n2m1,w4m1/k40,10,40,640,10,640,router,4.321,0.2,607.9,609.0
1,n2m1,w4m1/k40,10,40,640,10,640,router.sum,0.842,0.0,0.0,0.0
