tokens,cells,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
128,2048,qt1_kt4,gemm_m4,gemm_m8,idx,3.962,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m8,score,19.196,0.2,3496.0,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m8,attn,30.295,0.4,6645.5,0.0
128,2048,qt1_kt4,gemm_m4,gemm_m8,out,284.210,3.4,14167.5,116.2
128,2048,qt1_kt4,gemm_m4,gemm_m8,layer,899.004,10.8,,
128,2048,qt1_kt4,gemm_m8,gemm_m2,qkv,454.300,5.5,20126.8,158.7
128,2048,qt1_kt4,gemm_m8,gemm_m2,pack,16.408,0.2,0.0,335.5
128,2048,qt1_kt4,gemm_m8,gemm_m2,idx,4.071,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m8,gemm_m2,score,19.624,0.2,3419.7,0.0
128,2048,qt1_kt4,gemm_m8,gemm_m2,attn,31.700,0.4,6351.0,0.0
